年度,区分,区分2,基金名,区分3,金額（億円）
2018,３つのシティ実現に向けた基金,スマート シティ,イノベーション創出基金,2017年度最終補正後残高,300
2018,３つのシティ実現に向けた基金,スマート シティ,イノベーション創出基金,2018年度取崩額（当初）,-46
2018,３つのシティ実現に向けた基金,スマート シティ,イノベーション創出基金,2018年度末残高（当初）,254
2018,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2017年度最終補正後残高,0
2018,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2018年度取崩額（当初）,0
2018,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2018年度末残高（当初）,620
2018,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2017年度最終補正後残高,-1
2018,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2018年度取崩額（当初）,-1
2018,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2018年度末残高（当初）,0
2018,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2017年度最終補正後残高,58
2018,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2018年度取崩額（当初）,-22
2018,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2018年度末残高（当初）,35
2018,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2017年度最終補正後残高,315
2018,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2018年度取崩額（当初）,-126
2018,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2018年度末残高（当初）,189
2018,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2017年度最終補正後残高,"2,158"
2018,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2018年度取崩額（当初）,-564
2018,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2018年度末残高（当初）,"1,595"
2018,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2017年度最終補正後残高,120
2018,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2018年度取崩額（当初）,-69
2018,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2018年度末残高（当初）,50
2018,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2017年度最終補正後残高,0
2018,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2018年度取崩額（当初）,0
2018,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2018年度末残高（当初）,1
2018,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2017年度最終補正後残高,"5,030"
2018,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2018年度取崩額（当初）,-968
2018,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2018年度末残高（当初）,"4,063"
2018,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2017年度最終補正後残高,0
2018,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2018年度取崩額（当初）,1
2018,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2018年度末残高（当初）,-1
2018,国の交付金等により積み立てた基金,その他基金,その他基金,2017年度最終補正後残高,"2,192"
2018,国の交付金等により積み立てた基金,その他基金,その他基金,2018年度取崩額（当初）,-292
2018,国の交付金等により積み立てた基金,その他基金,その他基金,2018年度末残高（当初）,"1,569"
2018,財源として活用可能な基金,財政調整基金,財政調整基金,2017年度最終補正後残高,"7,165"
2018,財源として活用可能な基金,財政調整基金,財政調整基金,2018年度取崩額（当初）,0
2018,財源として活用可能な基金,財政調整基金,財政調整基金,2018年度末残高（当初）,"7,167"
2018,合計,合計,合計,2017年度最終補正後残高,"25,082"
2018,合計,合計,合計,2018年度取崩額（当初）,"-4,247"
2018,合計,合計,合計,2018年度末残高（当初）,"21,183"
